last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Stanton, Giancarlo,519317,36,7.9,36.1,120.6,92.7,101,85.1,445,184,435,17,13.5,47.2,10,27.8,13.9
Lewis, Kyle,641786,43,10.4,41.9,108.9,90.3,98.3,83.8,434,170,408,20,13.7,46.5,10,23.3,13.3
Cron, Kevin,605196,44,14.2,40.9,113.8,89.9,97.9,79.3,453,206,409,22,12.5,50.0,10,22.7,12.8
Ríos, Edwin,621458,26,5.4,50.0,112.5,95,101.7,87.3,473,198,417,17,14.5,65.4,7,26.9,12.5
Cruz, Nelson,443558,326,13.1,38.3,117,93.7,99.2,89,478,198,411,168,17.2,51.5,65,19.9,12.5
Sánchez, Gary,596142,272,19.2,33.5,118.3,91.1,96,86.2,481,209,417,112,13.6,41.2,52,19.1,11.7
LaMarre, Ryan,534606,18,7.9,38.9,105.4,86.1,90.6,80.3,410,176,410,5,11.6,27.8,3,16.7,11.5
Gallo, Joey,608336,129,22.4,34.9,115.4,94.8,101.4,82.7,467,239,418,68,12.8,52.7,34,26.4,11.4
Garlick, Kyle,664247,29,25,48.3,105.5,91.6,94.7,87,413,247,397,12,11.4,41.4,6,20.7,11.3
Trout, Mike,545361,354,22.2,43.8,116.6,90.9,95.1,84.2,486,234,419,155,16.8,43.8,67,18.9,11.2
Grullón, Deivy,620453,7,22.6,42.9,109,92.6,93.7,87.6,341,221,,2,10.0,28.6,1,14.3,11.1
Sanó, Miguel,593934,222,15.9,36.5,114.2,94.4,99.6,89,496,207,416,127,15.2,57.2,47,21.2,10.7
Cron, C.J.,543068,353,12.8,34.0,115.9,91.1,96.2,87.7,464,187,404,158,16.2,44.8,53,15.0,10.6
Judge, Aaron,592450,238,11.2,39.1,118.1,96,99.6,91.8,467,200,396,136,16.9,57.1,47,19.7,10.5
Soler, Jorge,624585,415,15.5,34.9,115.7,92.6,97.2,88.8,465,200,414,207,17.1,49.9,70,16.9,10.3
Yelich, Christian,592885,374,11.3,33.2,117.9,93.3,96.8,91,462,185,407,182,17.6,48.7,59,15.8,10.2
Alvarez, Yordan,670541,221,13.4,39.4,117.9,92.2,96.5,86.5,454,203,410,107,16.6,48.4,37,16.7,10.0
Duvall, Adam,594807,82,25.6,30.5,112.3,91.1,97.1,83.5,440,228,420,27,10.5,32.9,13,15.9,10.0
Garver, Mitch,641598,226,15.3,33.6,109.7,91.1,97.2,84.8,443,200,400,113,21.5,50.0,35,15.5,9.7
Freese, David,501896,118,11,36.4,110,91.5,93.3,91.3,428,173,391,59,17.6,50.0,18,15.3,9.7
Alonso, Pete,624413,417,14.8,36.9,118.3,90.7,96.6,85.9,489,191,414,176,13.7,42.2,66,15.8,9.5
Castro, Jason,488771,151,14.4,41.7,110.5,91.8,96.5,85.8,443,207,415,71,13.7,47.0,26,17.2,9.5
Donaldson, Josh,518626,396,13.3,33.3,114.2,92.9,98.1,89,443,186,406,200,16.6,50.5,62,15.7,9.4
Springer, George,543807,370,10.5,31.6,114.3,89.8,95.4,85.7,474,177,408,160,15.8,43.2,52,14.1,9.4
Bruce, Jay,457803,231,21.6,33.8,109.2,90.2,95.7,84.1,437,222,398,97,14.0,42.0,31,13.4,9.3
Reyes, Franmil,614177,345,9.5,33.3,115,93.3,98.2,88.6,457,182,408,176,16.1,51.0,51,14.8,9.3
Wallach, Chad,595453,36,14.3,27.8,108,89.8,95.4,83,405,198,405,14,13.2,38.9,5,13.9,9.3
Acuña Jr., Ronald,660670,439,14.2,40.5,115.9,90.6,95.6,84.8,466,192,416,208,15.0,47.4,66,15.0,9.2
Lowe, Brandon,664040,184,19.2,40.2,114.3,91.6,96,85.6,455,220,403,85,12.0,46.2,30,16.3,9.2
Olson, Matt,621566,346,19.4,36.1,111.9,92.7,97.2,89,450,207,400,171,16.5,49.4,50,14.5,9.1
Abreu, José,547989,492,10.9,35.2,117.9,92.1,96.1,89.6,447,170,404,237,17.5,48.2,63,12.8,9.1
Thomas, Lane,657041,30,6.4,26.7,108.7,91.7,97.6,89,410,160,378,13,18.3,43.3,4,13.3,9.1
McKay, Brendan,656713,8,-5.6,12.5,108,87.4,97.7,81.3,420,128,420,3,18.8,37.5,1,12.5,9.1
Bolt, Skye,621450,7,21,57.1,104.4,85,88.2,81.3,386,260,,1,5.9,14.3,1,14.3,9.1
Schwarber, Kyle,656941,379,15.5,35.6,117.6,93.5,97.9,90,473,201,406,193,17.7,50.9,55,14.5,9.0
Happ, Ian,664023,102,16,27.5,112.7,89.8,95.5,86.3,474,185,405,39,11.9,38.2,14,13.7,9.0
Avila, Alex,488671,96,9.4,42.7,107.9,91.4,96.6,86.6,448,185,395,47,15.6,49.0,18,18.8,9.0
Greinke, Zack,425844,42,5.9,33.3,106.5,88.9,93.2,87.1,413,159,394,13,12.9,31.0,5,11.9,8.9
Kendrick, Howie,435062,290,10.8,36.9,112.4,91.7,94.4,90.4,435,176,411,140,21.1,48.3,33,11.4,8.9
Bellinger, Cody,641355,455,17.9,39.6,110.6,91.1,95,86.4,442,209,405,207,17.3,45.5,58,12.7,8.8
Adams, Matt,571431,196,19.6,39.8,112.1,88.6,95.6,80.2,438,210,405,86,13.1,43.9,29,14.8,8.7
Rendon, Anthony,543685,468,19.5,38.7,107.7,90.4,93.5,88.3,431,209,398,218,19.3,46.6,56,12.0,8.7
Harper, Bryce,547180,399,13.7,37.6,116.4,91.9,96.8,86.5,466,198,411,182,13.5,45.6,59,14.8,8.7
Bell, Josh,605137,416,13.1,34.6,116.2,92.4,96.1,89.9,474,186,411,193,16.4,46.4,53,12.7,8.6
Báez, Javier,595879,377,7.7,36.3,114.1,91.1,96.1,86.7,460,174,404,163,14.8,43.2,48,12.7,8.6
Jiménez, Eloy,650391,336,9.3,32.4,114.1,91.2,96.6,87.4,471,169,409,161,17.3,47.9,43,12.8,8.5
Meadows, Austin,640457,399,16.7,38.1,115.4,90.4,94.7,85.8,447,206,399,171,16.2,42.9,50,12.5,8.5
Aquino, Aristides,606157,147,18.6,30.6,118.3,87.8,95,82.8,469,195,407,55,11.0,37.4,19,12.9,8.4
Encarnación, Edwin,429665,318,22.5,34.3,113,90.2,94.6,87.5,442,207,401,134,14.3,42.1,41,12.9,8.4
Correa, Carlos,621043,209,12.5,36.4,112.8,89,95.7,83.1,474,196,402,84,14.4,40.2,27,12.9,8.4
Freeman, Freddie,518692,472,14.4,40.0,112,89.7,93.8,85.1,446,194,404,200,14.0,42.4,58,12.3,8.4
Tucker, Kyle,663656,47,16.3,42.6,107.7,92,95.3,86.9,407,219,392,23,17.3,48.9,6,12.8,8.3
Pirela, José,517369,15,22.8,26.7,105.5,86.5,87.4,89.4,410,173,410,5,11.6,33.3,2,13.3,8.3
Tellez, Rowdy,642133,257,14,37.0,115.2,90.7,94.5,87.2,455,193,406,107,13.6,41.6,34,13.2,8.3
Miller, Brad,543543,109,17.7,26.6,113.4,92.6,95.3,91.4,434,193,409,51,17.0,46.8,14,12.8,8.2
Ozuna, Marcell,542303,372,13.5,32.8,115.3,91.8,96.3,88.6,455,180,403,179,17.6,48.1,45,12.1,8.2
Suárez, Eugenio,553993,392,17.7,38.0,112.3,89.3,93.1,86.1,457,196,400,157,13.0,40.1,54,13.8,8.2
Walker, Christian,572233,375,14.8,34.1,112.4,91.1,95.3,87.9,447,183,411,183,15.6,48.8,49,13.1,8.1
García, Avisaíl,541645,367,9.8,34.1,116.2,89.5,95.2,86.4,485,167,409,148,13.9,40.3,43,11.7,8.1
Sandoval, Pablo,467055,210,10.9,37.1,114.7,89.8,95.3,86.5,444,169,400,93,15.0,44.3,24,11.4,8.1
Odor, Rougned,596059,346,17.9,30.6,113.1,91.1,96.2,87.1,471,208,404,157,14.1,45.4,47,13.6,8.1
Tatis Jr., Fernando,665487,227,6.7,33.5,115.9,90.4,95.8,85.7,468,168,405,100,15.0,44.1,30,13.2,8.1
Hiura, Keston,669374,208,16.4,35.6,112.4,91.4,95.2,88.8,442,194,402,100,14.1,48.1,28,13.5,8.0
Hilliard, Sam,656541,54,8.4,37.0,114.1,90.8,96,85.7,455,198,413,23,14.4,42.6,7,13.0,8.0
Ohtani, Shohei,660271,278,6.8,31.7,115.1,92.8,97,89,447,164,406,131,15.8,47.1,34,12.2,8.0
Court, Ryan,606956,13,16.3,46.2,107.1,81,91.5,75.1,366,164,366,4,8.5,30.8,2,15.4,8.0
Iannetta, Chris,455104,91,8.7,36.3,113.2,92.1,97.2,84.9,476,194,405,47,16.3,51.6,13,14.3,7.9
Martinez, J.D.,502110,442,12.5,40.7,112.6,91.3,95.1,87.5,434,192,402,208,17.1,47.1,52,11.8,7.9
Chapman, Matt,656305,439,16.6,25.1,114.4,92.7,97.1,91,453,186,408,211,17.9,48.1,53,12.1,7.9
Morrison, Logan,489149,25,22.1,24.0,108.8,87.7,93.9,86,411,176,404,7,8.5,28.0,3,12.0,7.9
Moncada, Yoán,660162,361,12.3,40.4,115.8,93.1,95.5,91.8,462,187,406,173,16.5,47.9,44,12.2,7.9
Castellanos, Nick,592206,475,14,39.8,111.2,89,93.9,83.3,436,198,394,196,14.7,41.3,52,10.9,7.8
Austin, Tyler,592122,88,14.9,27.3,111.1,91.7,95.7,86.7,441,205,411,42,12.5,47.7,14,15.9,7.8
Moreland, Mitch,519048,226,10.1,33.2,114,90.8,95.8,86.2,436,179,396,103,15.7,45.6,26,11.5,7.8
Riley, Austin,663586,168,20.6,40.5,111.7,89.4,94.1,83.3,438,223,405,75,11.9,44.6,23,13.7,7.7
Soto, Juan,665742,416,12.5,36.3,112.8,92,97,86.4,443,194,403,199,17.5,47.8,51,12.3,7.7
Davis, J.D.,605204,315,10.2,36.8,114.7,91.5,95.2,88.7,449,172,404,149,16.9,47.3,35,11.1,7.7
